time	frequency	count
00	0.0546448087431694	10
01	0.02185792349726776	4
02	0.00546448087431694	1
03	0.01092896174863388	2
04	0.0273224043715847	5
05	0.01092896174863388	2
06	0.0	0
07	0.0273224043715847	5
08	0.04371584699453552	8
09	0.03825136612021858	7
10	0.0273224043715847	5
11	0.04918032786885246	9
12	0.0273224043715847	5
13	0.0546448087431694	10
14	0.04371584699453552	8
15	0.03825136612021858	7
16	0.03825136612021858	7
17	0.060109289617486336	11
18	0.08196721311475409	15
19	0.09289617486338798	17
20	0.060109289617486336	11
21	0.0546448087431694	10
22	0.060109289617486336	11
23	0.07103825136612021	13
