time	frequency	count
00	0.03648915187376726	37
01	0.021696252465483234	22
02	0.008875739644970414	9
03	0.01972386587771203	20
04	0.010848126232741617	11
05	0.01282051282051282	13
06	0.015779092702169626	16
07	0.023668639053254437	24
08	0.04043392504930966	41
09	0.04930966469428008	50
10	0.05325443786982249	54
11	0.047337278106508875	48
12	0.04930966469428008	50
13	0.054240631163708086	55
14	0.055226824457593686	56
15	0.07100591715976332	72
16	0.055226824457593686	56
17	0.045364891518737675	46
18	0.03451676528599606	35
19	0.05818540433925049	59
20	0.0631163708086785	64
21	0.0650887573964497	66
22	0.055226824457593686	56
23	0.05325443786982249	54
