time	frequency	count
00	0.047872340425531915	18
01	0.031914893617021274	12
02	0.02925531914893617	11
03	0.007978723404255319	3
04	0.005319148936170213	2
05	0.007978723404255319	3
06	0.007978723404255319	3
07	0.007978723404255319	3
08	0.026595744680851064	10
09	0.031914893617021274	12
10	0.023936170212765957	9
11	0.0398936170212766	15
12	0.05851063829787234	22
13	0.034574468085106384	13
14	0.04521276595744681	17
15	0.05053191489361702	19
16	0.061170212765957445	23
17	0.06914893617021277	26
18	0.05053191489361702	19
19	0.06648936170212766	25
20	0.08776595744680851	33
21	0.07446808510638298	28
22	0.06648936170212766	25
23	0.06648936170212766	25
