time	frequency	count
00	0.05042918454935622	47
01	0.032188841201716736	30
02	0.0203862660944206	19
03	0.015021459227467811	14
04	0.016094420600858368	15
05	0.01072961373390558	10
06	0.01072961373390558	10
07	0.02682403433476395	25
08	0.028969957081545063	27
09	0.03540772532188841	33
10	0.03862660944206009	36
11	0.03969957081545064	37
12	0.04721030042918455	44
13	0.043991416309012876	41
14	0.04184549356223176	39
15	0.055793991416309016	52
16	0.06330472103004292	59
17	0.05257510729613734	49
18	0.060085836909871244	56
19	0.07296137339055794	68
20	0.04935622317596566	46
21	0.06330472103004292	59
22	0.06223175965665236	58
23	0.06223175965665236	58
