time	frequency	count
00	0.07627118644067797	9
01	0.025423728813559324	3
02	0.00847457627118644	1
03	0.025423728813559324	3
04	0.00847457627118644	1
05	0.01694915254237288	2
06	0.01694915254237288	2
07	0.05084745762711865	6
08	0.00847457627118644	1
09	0.01694915254237288	2
10	0.05084745762711865	6
11	0.00847457627118644	1
12	0.0423728813559322	5
13	0.05084745762711865	6
14	0.03389830508474576	4
15	0.03389830508474576	4
16	0.01694915254237288	2
17	0.03389830508474576	4
18	0.07627118644067797	9
19	0.06779661016949153	8
20	0.1016949152542373	12
21	0.11864406779661017	14
22	0.05084745762711865	6
23	0.059322033898305086	7
