time	frequency	count
00	0.02320185614849188	10
01	0.013921113689095127	6
02	0.009280742459396751	4
03	0.02088167053364269	9
04	0.0069605568445475635	3
05	0.002320185614849188	1
06	0.016241299303944315	7
07	0.02320185614849188	10
08	0.04176334106728538	18
09	0.05336426914153132	23
10	0.07192575406032482	31
11	0.05104408352668213	22
12	0.07424593967517401	32
13	0.03944315545243619	17
14	0.05568445475638051	24
15	0.04640371229698376	20
16	0.048723897911832945	21
17	0.048723897911832945	21
18	0.030162412993039442	13
19	0.06264501160092807	27
20	0.0765661252900232	33
21	0.06728538283062645	29
22	0.07424593967517401	32
23	0.04176334106728538	18
