time	frequency	count
00	0.031055900621118012	5
01	0.024844720496894408	4
02	0.018633540372670808	3
03	0.0	0
04	0.006211180124223602	1
05	0.006211180124223602	1
06	0.012422360248447204	2
07	0.012422360248447204	2
08	0.018633540372670808	3
09	0.043478260869565216	7
10	0.062111801242236024	10
11	0.024844720496894408	4
12	0.018633540372670808	3
13	0.062111801242236024	10
14	0.049689440993788817	8
15	0.06832298136645963	11
16	0.031055900621118012	5
17	0.037267080745341616	6
18	0.037267080745341616	6
19	0.07453416149068323	12
20	0.10559006211180125	17
21	0.07453416149068323	12
22	0.09316770186335403	15
23	0.08695652173913043	14
