time	frequency	count
00	0.03436426116838488	20
01	0.022336769759450172	13
02	0.00859106529209622	5
03	0.003436426116838488	2
04	0.015463917525773196	9
05	0.010309278350515464	6
06	0.01718213058419244	10
07	0.03436426116838488	20
08	0.054982817869415807	32
09	0.027491408934707903	16
10	0.044673539518900345	26
11	0.09278350515463918	54
12	0.04639175257731959	27
13	0.0429553264604811	25
14	0.05670103092783505	33
15	0.04639175257731959	27
16	0.044673539518900345	26
17	0.058419243986254296	34
18	0.06013745704467354	35
19	0.06357388316151202	37
20	0.05326460481099656	31
21	0.05326460481099656	31
22	0.054982817869415807	32
23	0.05326460481099656	31
