time	frequency	count
00	0.018604651162790697	4
01	0.05116279069767442	11
02	0.018604651162790697	4
03	0.018604651162790697	4
04	0.013953488372093023	3
05	0.009302325581395349	2
06	0.013953488372093023	3
07	0.04186046511627907	9
08	0.04186046511627907	9
09	0.013953488372093023	3
10	0.046511627906976744	10
11	0.037209302325581395	8
12	0.05116279069767442	11
13	0.046511627906976744	10
14	0.046511627906976744	10
15	0.037209302325581395	8
16	0.046511627906976744	10
17	0.06511627906976744	14
18	0.05116279069767442	11
19	0.06976744186046512	15
20	0.09302325581395349	20
21	0.06511627906976744	14
22	0.05581395348837209	12
23	0.046511627906976744	10
