time	frequency	count
00	0.039272030651340994	41
01	0.023946360153256706	25
02	0.011494252873563218	12
03	0.018199233716475097	19
04	0.008620689655172414	9
05	0.014367816091954023	15
06	0.020114942528735632	21
07	0.022030651340996167	23
08	0.04789272030651341	50
09	0.04310344827586207	45
10	0.034482758620689655	36
11	0.040229885057471264	42
12	0.05651340996168582	59
13	0.0421455938697318	44
14	0.06417624521072797	67
15	0.05459770114942529	57
16	0.06896551724137931	72
17	0.05363984674329502	56
18	0.05268199233716475	55
19	0.05747126436781609	60
20	0.05363984674329502	56
21	0.06321839080459771	66
22	0.0603448275862069	63
23	0.04885057471264368	51
