time	frequency	count
00	0.03293413173652695	11
01	0.017964071856287425	6
02	0.023952095808383235	8
03	0.014970059880239521	5
04	0.008982035928143712	3
05	0.0	0
06	0.014970059880239521	5
07	0.017964071856287425	6
08	0.03592814371257485	12
09	0.03592814371257485	12
10	0.04790419161676647	16
11	0.03592814371257485	12
12	0.059880239520958084	20
13	0.05089820359281437	17
14	0.0658682634730539	22
15	0.0688622754491018	23
16	0.0718562874251497	24
17	0.041916167664670656	14
18	0.03592814371257485	12
19	0.05389221556886228	18
20	0.06287425149700598	21
21	0.08083832335329341	27
22	0.0748502994011976	25
23	0.04491017964071856	15
