time	frequency	count
00	0.031180400890868598	28
01	0.024498886414253896	22
02	0.0200445434298441	18
03	0.014476614699331848	13
04	0.008908685968819599	8
05	0.014476614699331848	13
06	0.02783964365256125	25
07	0.024498886414253896	22
08	0.043429844097995544	39
09	0.0400890868596882	36
10	0.045657015590200446	41
11	0.0645879732739421	58
12	0.05679287305122494	51
13	0.05011135857461024	45
14	0.052338530066815145	47
15	0.0556792873051225	50
16	0.05456570155902005	49
17	0.052338530066815145	47
18	0.05790645879732739	52
19	0.060133630289532294	54
20	0.05011135857461024	45
21	0.060133630289532294	54
22	0.04788418708240535	43
23	0.042316258351893093	38
