time	frequency	count
00	0.058823529411764705	12
01	0.00980392156862745	2
02	0.0392156862745098	8
03	0.0196078431372549	4
04	0.024509803921568627	5
05	0.0392156862745098	8
06	0.00980392156862745	2
07	0.024509803921568627	5
08	0.014705882352941176	3
09	0.05392156862745098	11
10	0.049019607843137254	10
11	0.0392156862745098	8
12	0.06372549019607843	13
13	0.024509803921568627	5
14	0.05392156862745098	11
15	0.05392156862745098	11
16	0.04411764705882353	9
17	0.04411764705882353	9
18	0.05392156862745098	11
19	0.024509803921568627	5
20	0.04411764705882353	9
21	0.058823529411764705	12
22	0.0784313725490196	16
23	0.07352941176470588	15
