time	frequency	count
00	0.03699284009546539	31
01	0.032219570405727926	27
02	0.02028639618138425	17
03	0.017899761336515514	15
04	0.010739856801909307	9
05	0.011933174224343675	10
06	0.013126491646778043	11
07	0.017899761336515514	15
08	0.03341288782816229	28
09	0.03818615751789976	32
10	0.04892601431980907	41
11	0.05489260143198091	46
12	0.05608591885441527	47
13	0.0405727923627685	34
14	0.05489260143198091	46
15	0.06205250596658711	52
16	0.0477326968973747	40
17	0.06324582338902147	53
18	0.057279236276849645	48
19	0.07517899761336516	63
20	0.0513126491646778	43
21	0.059665871121718374	50
22	0.05489260143198091	46
23	0.0405727923627685	34
