time	frequency	count
00	0.049848590729093874	214
01	0.03331003959934777	143
02	0.024691358024691357	106
03	0.01583973911017936	68
04	0.012345679012345678	53
05	0.009317493594223155	40
06	0.012345679012345678	53
07	0.02282785930584673	98
08	0.030747728860936407	132
09	0.03680409969718146	158
10	0.041928721174004195	180
11	0.039133473095737246	168
12	0.047053342650826925	202
13	0.0451898439319823	194
14	0.047519217330538085	204
15	0.05241090146750524	225
16	0.04682040531097135	201
17	0.047053342650826925	202
18	0.05380852550663871	231
19	0.06102958304216166	262
20	0.06568832983927324	282
21	0.06731889121826229	289
22	0.07500582343349639	322
23	0.061961332401583975	266
