time	frequency	count
00	0.034334763948497854	8
01	0.034334763948497854	8
02	0.02575107296137339	6
03	0.017167381974248927	4
04	0.02575107296137339	6
05	0.004291845493562232	1
06	0.008583690987124463	2
07	0.02575107296137339	6
08	0.030042918454935622	7
09	0.05150214592274678	12
10	0.03862660944206009	9
11	0.06437768240343347	15
12	0.055793991416309016	13
13	0.05150214592274678	12
14	0.02575107296137339	6
15	0.05150214592274678	12
16	0.04721030042918455	11
17	0.017167381974248927	4
18	0.05150214592274678	12
19	0.060085836909871244	14
20	0.0944206008583691	22
21	0.034334763948497854	8
22	0.06866952789699571	16
23	0.0815450643776824	19
