time	frequency	count
00	0.04549950544015826	46
01	0.026706231454005934	27
02	0.021760633036597428	22
03	0.01582591493570722	16
04	0.009891196834817012	10
05	0.010880316518298714	11
06	0.018793273986152326	19
07	0.033630069238377844	34
08	0.03758654797230465	38
09	0.04154302670623145	42
10	0.04648862512363996	47
11	0.04945598417408507	50
12	0.043521266073194856	44
13	0.0771513353115727	78
14	0.05934718100890208	60
15	0.05440158259149357	55
16	0.04846686449060336	49
17	0.057368941641938676	58
18	0.05539070227497527	56
19	0.03857566765578635	39
20	0.051434223541048464	52
21	0.058358061325420374	59
22	0.058358061325420374	59
23	0.03956478733926805	40
