time	frequency	count
00	0.025806451612903226	4
01	0.03225806451612903	5
02	0.025806451612903226	4
03	0.03225806451612903	5
04	0.05161290322580645	8
05	0.01935483870967742	3
06	0.025806451612903226	4
07	0.012903225806451613	2
08	0.012903225806451613	2
09	0.05806451612903226	9
10	0.04516129032258064	7
11	0.04516129032258064	7
12	0.01935483870967742	3
13	0.06451612903225806	10
14	0.04516129032258064	7
15	0.04516129032258064	7
16	0.07096774193548387	11
17	0.05161290322580645	8
18	0.05161290322580645	8
19	0.07096774193548387	11
20	0.025806451612903226	4
21	0.03225806451612903	5
22	0.08387096774193549	13
23	0.05161290322580645	8
