time	frequency	count
00	0.035842293906810034	20
01	0.023297491039426525	13
02	0.03046594982078853	17
03	0.014336917562724014	8
04	0.026881720430107527	15
05	0.025089605734767026	14
06	0.025089605734767026	14
07	0.023297491039426525	13
08	0.03942652329749104	22
09	0.04121863799283154	23
10	0.03046594982078853	17
11	0.03763440860215054	21
12	0.043010752688172046	24
13	0.044802867383512544	25
14	0.05913978494623656	33
15	0.05197132616487455	29
16	0.05913978494623656	33
17	0.05555555555555555	31
18	0.05555555555555555	31
19	0.07347670250896057	41
20	0.05017921146953405	28
21	0.053763440860215055	30
22	0.05555555555555555	31
23	0.044802867383512544	25
