time	frequency	count
00	0.027422303473491772	15
01	0.031078610603290677	17
02	0.012797074954296161	7
03	0.021937842778793418	12
04	0.009140767824497258	5
05	0.005484460694698354	3
06	0.014625228519195612	8
07	0.02010968921389397	11
08	0.021937842778793418	12
09	0.04021937842778794	22
10	0.0603290676416819	33
11	0.06581352833638025	36
12	0.04021937842778794	22
13	0.05301645338208409	29
14	0.04570383912248629	25
15	0.04753199268738574	26
16	0.062157221206581355	34
17	0.05850091407678245	32
18	0.04936014625228519	27
19	0.038391224862888484	21
20	0.062157221206581355	34
21	0.08043875685557587	44
22	0.054844606946983544	30
23	0.07678244972577697	42
