time	frequency	count
00	0.03693354391932936	608
01	0.024116146276272628	397
02	0.01719110679139837	283
03	0.015125744138014822	249
04	0.010569797108492285	174
05	0.013303365326205808	219
06	0.017555582553760173	289
07	0.02636374681083708	434
08	0.03669056007775483	604
09	0.043737091483416354	720
10	0.04695662738427894	773
11	0.04829303851293889	795
12	0.04883975215648159	804
13	0.051512574413801485	848
14	0.05345644514639777	880
15	0.05606852144332402	923
16	0.05309196938403596	874
17	0.058376867938282104	961
18	0.05248450978009962	864
19	0.05989551694812295	986
20	0.05965253310654842	982
21	0.060624468472846554	998
22	0.058073138136313936	956
23	0.05108735269104604	841
