Time,atlanta,atlanta_count,austin,austin_count,boston,boston_count,chicago,chicago_count,dallas,dallas_count,denver,denver_count,detroit,detroit_count,houston,houston_count,lasvegas,lasvegas_count,losangeles,losangeles_count,miami,miami_count,minneapolis,minneapolis_count,newyork,newyork_count,orangecounty,orangecounty_count,philadelphia,philadelphia_count,phoenix,phoenix_count,portland,portland_count,raleigh,raleigh_count,sacramento,sacramento_count,sandiego,sandiego_count,seattle,seattle_count,sfbay,sfbay_count,washingtondc,washingtondc_count,Total,Total_count
00,0.03648915187376726,37,0.05042918454935622,47,0.02320185614849188,10,0.03436426116838488,20,0.039272030651340994,41,0.031180400890868598,28,0.03699284009546539,31,0.04549950544015826,46,0.035842293906810034,20,0.027422303473491772,15,0.04479166666666667,43,0.028907922912205567,27,0.04250295159386069,36,0.04625,37,0.03919372900335946,35,0.03866809881847476,36,0.04066543438077634,22,0.030450669914738125,25,0.020710059171597635,7,0.03783783783783784,14,0.03373015873015873,17,0.025839793281653745,10,0.014234875444839857,4,0.03693354391932936,608
01,0.021696252465483234,22,0.032188841201716736,30,0.013921113689095127,6,0.022336769759450172,13,0.023946360153256706,25,0.024498886414253896,22,0.032219570405727926,27,0.026706231454005934,27,0.023297491039426525,13,0.031078610603290677,17,0.013541666666666667,13,0.020342612419700215,19,0.03778040141676505,32,0.03625,29,0.019036954087346025,17,0.022556390977443608,21,0.024029574861367836,13,0.012180267965895249,10,0.029585798816568046,10,0.008108108108108109,3,0.015873015873015872,8,0.03359173126614987,13,0.02491103202846975,7,0.024116146276272628,397
02,0.008875739644970414,9,0.0203862660944206,19,0.009280742459396751,4,0.00859106529209622,5,0.011494252873563218,12,0.0200445434298441,18,0.02028639618138425,17,0.021760633036597428,22,0.03046594982078853,17,0.012797074954296161,7,0.013541666666666667,13,0.020342612419700215,19,0.020070838252656435,17,0.0175,14,0.0167973124300112,15,0.01933404940923738,18,0.022181146025878003,12,0.013398294762484775,11,0.01775147928994083,6,0.021621621621621623,8,0.017857142857142856,9,0.020671834625323,8,0.010676156583629894,3,0.01719110679139837,283
03,0.01972386587771203,20,0.015021459227467811,14,0.02088167053364269,9,0.003436426116838488,2,0.018199233716475097,19,0.014476614699331848,13,0.017899761336515514,15,0.01582591493570722,16,0.014336917562724014,8,0.021937842778793418,12,0.009375,9,0.013918629550321198,13,0.011806375442739079,10,0.01125,9,0.01791713325867861,16,0.018259935553168637,17,0.011090573012939002,6,0.014616321559074299,12,0.005917159763313609,2,0.013513513513513514,5,0.017857142857142856,9,0.028423772609819122,11,0.0071174377224199285,2,0.015125744138014822,249
04,0.010848126232741617,11,0.016094420600858368,15,0.0069605568445475635,3,0.015463917525773196,9,0.008620689655172414,9,0.008908685968819599,8,0.010739856801909307,9,0.009891196834817012,10,0.026881720430107527,15,0.009140767824497258,5,0.009375,9,0.016059957173447537,15,0.011806375442739079,10,0.01125,9,0.005599104143337066,5,0.008592910848549946,8,0.009242144177449169,5,0.012180267965895249,10,0.014792899408284023,5,0.002702702702702703,1,0.003968253968253968,2,0.002583979328165375,1,0.0,0,0.010569797108492285,174
05,0.01282051282051282,13,0.01072961373390558,10,0.002320185614849188,1,0.010309278350515464,6,0.014367816091954023,15,0.014476614699331848,13,0.011933174224343675,10,0.010880316518298714,11,0.025089605734767026,14,0.005484460694698354,3,0.007291666666666667,7,0.013918629550321198,13,0.01652892561983471,14,0.01125,9,0.012318029115341545,11,0.013963480128893663,13,0.011090573012939002,6,0.013398294762484775,11,0.023668639053254437,8,0.01891891891891892,7,0.031746031746031744,16,0.012919896640826873,5,0.010676156583629894,3,0.013303365326205808,219
06,0.015779092702169626,16,0.01072961373390558,10,0.016241299303944315,7,0.01718213058419244,10,0.020114942528735632,21,0.02783964365256125,25,0.013126491646778043,11,0.018793273986152326,19,0.025089605734767026,14,0.014625228519195612,8,0.013541666666666667,13,0.014989293361884369,14,0.018890200708382526,16,0.01375,11,0.020156774916013438,18,0.01611170784103115,15,0.014787430683918669,8,0.015834348355663823,13,0.026627218934911243,9,0.01891891891891892,7,0.01984126984126984,10,0.01808785529715762,7,0.02491103202846975,7,0.017555582553760173,289
07,0.023668639053254437,24,0.02682403433476395,25,0.02320185614849188,10,0.03436426116838488,20,0.022030651340996167,23,0.024498886414253896,22,0.017899761336515514,15,0.033630069238377844,34,0.023297491039426525,13,0.02010968921389397,11,0.029166666666666667,28,0.027837259100642397,26,0.0295159386068477,25,0.01375,11,0.030235162374020158,27,0.02577873254564984,24,0.04436229205175601,24,0.024360535931790498,20,0.023668639053254437,8,0.04864864864864865,18,0.021825396825396824,11,0.023255813953488372,9,0.021352313167259787,6,0.02636374681083708,434
08,0.04043392504930966,41,0.028969957081545063,27,0.04176334106728538,18,0.054982817869415807,32,0.04789272030651341,50,0.043429844097995544,39,0.03341288782816229,28,0.03758654797230465,38,0.03942652329749104,22,0.021937842778793418,12,0.022916666666666665,22,0.035331905781584586,33,0.03659976387249114,31,0.0375,30,0.03919372900335946,35,0.02900107411385607,27,0.025878003696857672,14,0.030450669914738125,25,0.047337278106508875,16,0.03513513513513514,13,0.05952380952380952,30,0.025839793281653745,10,0.03914590747330961,11,0.03669056007775483,604
09,0.04930966469428008,50,0.03540772532188841,33,0.05336426914153132,23,0.027491408934707903,16,0.04310344827586207,45,0.0400890868596882,36,0.03818615751789976,32,0.04154302670623145,42,0.04121863799283154,23,0.04021937842778794,22,0.05416666666666667,52,0.043897216274089934,41,0.04014167650531287,34,0.03,24,0.05375139977603583,48,0.05477980665950591,51,0.04621072088724584,25,0.03532277710109622,29,0.0621301775147929,21,0.05405405405405406,20,0.05555555555555555,28,0.03875968992248062,15,0.03558718861209965,10,0.043737091483416354,720
