time	frequency	count
00	0.01652892561983471	2
01	0.024793388429752067	3
02	0.024793388429752067	3
03	0.008264462809917356	1
04	0.0	0
05	0.0	0
06	0.03305785123966942	4
07	0.024793388429752067	3
08	0.024793388429752067	3
09	0.04132231404958678	5
10	0.01652892561983471	2
11	0.049586776859504134	6
12	0.06611570247933884	8
13	0.049586776859504134	6
14	0.0743801652892562	9
15	0.04132231404958678	5
16	0.05785123966942149	7
17	0.024793388429752067	3
18	0.04132231404958678	5
19	0.049586776859504134	6
20	0.08264462809917356	10
21	0.06611570247933884	8
22	0.09090909090909091	11
23	0.09090909090909091	11
