time	frequency	count
00	0.04479166666666667	43
01	0.013541666666666667	13
02	0.013541666666666667	13
03	0.009375	9
04	0.009375	9
05	0.007291666666666667	7
06	0.013541666666666667	13
07	0.029166666666666667	28
08	0.022916666666666665	22
09	0.05416666666666667	52
10	0.046875	45
11	0.04479166666666667	43
12	0.051041666666666666	49
13	0.06041666666666667	58
14	0.05625	54
15	0.059375	57
16	0.04479166666666667	43
17	0.071875	69
18	0.051041666666666666	49
19	0.06770833333333333	65
20	0.06458333333333334	62
21	0.07083333333333333	68
22	0.052083333333333336	50
23	0.040625	39
