time	frequency	count
00	0.04182509505703422	11
01	0.045627376425855515	12
02	0.026615969581749048	7
03	0.0076045627376425855	2
04	0.011406844106463879	3
05	0.0076045627376425855	2
06	0.0	0
07	0.022813688212927757	6
08	0.03802281368821293	10
09	0.026615969581749048	7
10	0.04182509505703422	11
11	0.034220532319391636	9
12	0.045627376425855515	12
13	0.045627376425855515	12
14	0.03802281368821293	10
15	0.06463878326996197	17
16	0.026615969581749048	7
17	0.053231939163498096	14
18	0.057034220532319393	15
19	0.06463878326996197	17
20	0.06463878326996197	17
21	0.09505703422053231	25
22	0.07604562737642585	20
23	0.06463878326996197	17
