time	frequency	count
00	0.028907922912205567	27
01	0.020342612419700215	19
02	0.020342612419700215	19
03	0.013918629550321198	13
04	0.016059957173447537	15
05	0.013918629550321198	13
06	0.014989293361884369	14
07	0.027837259100642397	26
08	0.035331905781584586	33
09	0.043897216274089934	41
10	0.046038543897216275	43
11	0.04068522483940043	38
12	0.05032119914346895	47
13	0.04925053533190578	46
14	0.04925053533190578	46
15	0.06638115631691649	62
16	0.056745182012847964	53
17	0.06531049250535331	61
18	0.055674518201284794	52
19	0.059957173447537475	56
20	0.06638115631691649	62
21	0.055674518201284794	52
22	0.05353319057815846	50
23	0.04925053533190578	46
