time	frequency	count
00	0.1072961373390558	25
01	0.030042918454935622	7
02	0.03862660944206009	9
03	0.02145922746781116	5
04	0.004291845493562232	1
05	0.017167381974248927	4
06	0.004291845493562232	1
07	0.017167381974248927	4
08	0.017167381974248927	4
09	0.034334763948497854	8
10	0.055793991416309016	13
11	0.03862660944206009	9
12	0.06437768240343347	15
13	0.030042918454935622	7
14	0.06866952789699571	16
15	0.03862660944206009	9
16	0.030042918454935622	7
17	0.02575107296137339	6
18	0.034334763948497854	8
19	0.05150214592274678	12
20	0.055793991416309016	13
21	0.060085836909871244	14
22	0.0944206008583691	22
23	0.060085836909871244	14
