time	frequency	count
00	0.04250295159386069	36
01	0.03778040141676505	32
02	0.020070838252656435	17
03	0.011806375442739079	10
04	0.011806375442739079	10
05	0.01652892561983471	14
06	0.018890200708382526	16
07	0.0295159386068477	25
08	0.03659976387249114	31
09	0.04014167650531287	34
10	0.04604486422668241	39
11	0.05194805194805195	44
12	0.05076741440377804	43
13	0.05194805194805195	44
14	0.047225501770956316	40
15	0.03896103896103896	33
16	0.04604486422668241	39
17	0.0590318772136954	50
18	0.053128689492325853	45
19	0.06139315230224321	52
20	0.05194805194805195	44
21	0.06847697756788666	58
22	0.048406139315230225	41
23	0.0590318772136954	50
