time	frequency	count
00	0.032520325203252036	4
01	0.04878048780487805	6
02	0.04878048780487805	6
03	0.024390243902439025	3
04	0.008130081300813009	1
05	0.008130081300813009	1
06	0.008130081300813009	1
07	0.016260162601626018	2
08	0.04065040650406504	5
09	0.008130081300813009	1
10	0.024390243902439025	3
11	0.024390243902439025	3
12	0.06504065040650407	8
13	0.04878048780487805	6
14	0.06504065040650407	8
15	0.056910569105691054	7
16	0.032520325203252036	4
17	0.04878048780487805	6
18	0.024390243902439025	3
19	0.07317073170731707	9
20	0.07317073170731707	9
21	0.08130081300813008	10
22	0.07317073170731707	9
23	0.06504065040650407	8
