time	frequency	count
00	0.055350553505535055	15
01	0.05166051660516605	14
02	0.014760147601476014	4
03	0.025830258302583026	7
04	0.01845018450184502	5
05	0.007380073800738007	2
06	0.007380073800738007	2
07	0.014760147601476014	4
08	0.01845018450184502	5
09	0.04059040590405904	11
10	0.02952029520295203	8
11	0.03690036900369004	10
12	0.04428044280442804	12
13	0.04428044280442804	12
14	0.02952029520295203	8
15	0.04797047970479705	13
16	0.05166051660516605	14
17	0.07011070110701106	19
18	0.04797047970479705	13
19	0.05904059040590406	16
20	0.08118081180811808	22
21	0.05166051660516605	14
22	0.07380073800738007	20
23	0.07749077490774908	21
