time	frequency	count
00	0.03919372900335946	35
01	0.019036954087346025	17
02	0.0167973124300112	15
03	0.01791713325867861	16
04	0.005599104143337066	5
05	0.012318029115341545	11
06	0.020156774916013438	18
07	0.030235162374020158	27
08	0.03919372900335946	35
09	0.05375139977603583	48
10	0.0683090705487122	61
11	0.043673012318029114	39
12	0.043673012318029114	39
13	0.06159014557670773	55
14	0.05375139977603583	48
15	0.04591265397536394	41
16	0.05375139977603583	48
17	0.051511758118701005	46
18	0.04591265397536394	41
19	0.05711086226203808	51
20	0.060470324748040316	54
21	0.04479283314669653	40
22	0.0671892497200448	60
23	0.048152295632698766	43
