time	frequency	count
00	0.07065217391304347	13
01	0.03804347826086957	7
02	0.02717391304347826	5
03	0.010869565217391304	2
04	0.0	0
05	0.010869565217391304	2
06	0.021739130434782608	4
07	0.010869565217391304	2
08	0.021739130434782608	4
09	0.02717391304347826	5
10	0.07065217391304347	13
11	0.021739130434782608	4
12	0.02717391304347826	5
13	0.02717391304347826	5
14	0.02717391304347826	5
15	0.06521739130434782	12
16	0.05434782608695652	10
17	0.059782608695652176	11
18	0.08152173913043478	15
19	0.07608695652173914	14
20	0.05434782608695652	10
21	0.07065217391304347	13
22	0.059782608695652176	11
23	0.06521739130434782	12
