time	frequency	count
00	0.03866809881847476	36
01	0.022556390977443608	21
02	0.01933404940923738	18
03	0.018259935553168637	17
04	0.008592910848549946	8
05	0.013963480128893663	13
06	0.01611170784103115	15
07	0.02577873254564984	24
08	0.02900107411385607	27
09	0.05477980665950591	51
10	0.04081632653061224	38
11	0.04618689581095596	43
12	0.04403866809881848	41
13	0.03544575725026853	33
14	0.06015037593984962	56
15	0.05477980665950591	51
16	0.06229860365198711	58
17	0.06552094522019335	61
18	0.06229860365198711	58
19	0.05477980665950591	51
20	0.07411385606874328	69
21	0.05370569280343716	50
22	0.04833512352309345	45
23	0.050483351235230935	47
