time	frequency	count
00	0.06914893617021277	13
01	0.026595744680851064	5
02	0.02127659574468085	4
03	0.02127659574468085	4
04	0.0	0
05	0.005319148936170213	1
06	0.010638297872340425	2
07	0.02127659574468085	4
08	0.05851063829787234	11
09	0.03723404255319149	7
10	0.047872340425531915	9
11	0.015957446808510637	3
12	0.05851063829787234	11
13	0.05319148936170213	10
14	0.06914893617021277	13
15	0.05319148936170213	10
16	0.05319148936170213	10
17	0.03723404255319149	7
18	0.05851063829787234	11
19	0.03723404255319149	7
20	0.031914893617021274	6
21	0.07446808510638298	14
22	0.09574468085106383	18
23	0.0425531914893617	8
