time	frequency	count
00	0.04066543438077634	22
01	0.024029574861367836	13
02	0.022181146025878003	12
03	0.011090573012939002	6
04	0.009242144177449169	5
05	0.011090573012939002	6
06	0.014787430683918669	8
07	0.04436229205175601	24
08	0.025878003696857672	14
09	0.04621072088724584	25
10	0.04805914972273567	26
11	0.051756007393715345	28
12	0.051756007393715345	28
13	0.04805914972273567	26
14	0.04990757855822551	27
15	0.04805914972273567	26
16	0.04436229205175601	24
17	0.06469500924214418	35
18	0.051756007393715345	28
19	0.06284658040665435	34
20	0.06284658040665435	34
21	0.06469500924214418	35
22	0.04436229205175601	24
23	0.05730129390018484	31
