time	frequency	count
00	0.06696428571428571	15
01	0.03571428571428571	8
02	0.026785714285714284	6
03	0.022321428571428572	5
04	0.004464285714285714	1
05	0.004464285714285714	1
06	0.008928571428571428	2
07	0.026785714285714284	6
08	0.04017857142857143	9
09	0.04017857142857143	9
10	0.04017857142857143	9
11	0.05357142857142857	12
12	0.03571428571428571	8
13	0.03125	7
14	0.05803571428571429	13
15	0.049107142857142856	11
16	0.04017857142857143	9
17	0.04017857142857143	9
18	0.05803571428571429	13
19	0.05803571428571429	13
20	0.049107142857142856	11
21	0.05357142857142857	12
22	0.08035714285714286	18
23	0.07589285714285714	17
