time	frequency	count
00	0.030450669914738125	25
01	0.012180267965895249	10
02	0.013398294762484775	11
03	0.014616321559074299	12
04	0.012180267965895249	10
05	0.013398294762484775	11
06	0.015834348355663823	13
07	0.024360535931790498	20
08	0.030450669914738125	25
09	0.03532277710109622	29
10	0.0438489646772229	36
11	0.048721071863580996	40
12	0.031668696711327646	26
13	0.06455542021924482	53
14	0.06090133982947625	50
15	0.05968331303288672	49
16	0.04628501827040195	38
17	0.07429963459196103	61
18	0.05602923264311815	46
19	0.05968331303288672	49
20	0.06699147381242387	55
21	0.05237515225334957	43
22	0.07186358099878197	59
23	0.06090133982947625	50
