time	frequency	count
00	0.055944055944055944	8
01	0.02097902097902098	3
02	0.02097902097902098	3
03	0.02097902097902098	3
04	0.013986013986013986	2
05	0.0	0
06	0.04895104895104895	7
07	0.013986013986013986	2
08	0.027972027972027972	4
09	0.04895104895104895	7
10	0.06993006993006994	10
11	0.055944055944055944	8
12	0.027972027972027972	4
13	0.055944055944055944	8
14	0.027972027972027972	4
15	0.07692307692307693	11
16	0.03496503496503497	5
17	0.055944055944055944	8
18	0.09090909090909091	13
19	0.06293706293706294	9
20	0.03496503496503497	5
21	0.055944055944055944	8
22	0.04195804195804196	6
23	0.03496503496503497	5
