time	frequency	count
00	0.020710059171597635	7
01	0.029585798816568046	10
02	0.01775147928994083	6
03	0.005917159763313609	2
04	0.014792899408284023	5
05	0.023668639053254437	8
06	0.026627218934911243	9
07	0.023668639053254437	8
08	0.047337278106508875	16
09	0.0621301775147929	21
10	0.05029585798816568	17
11	0.023668639053254437	8
12	0.05325443786982249	18
13	0.06804733727810651	23
14	0.03254437869822485	11
15	0.07100591715976332	24
16	0.05621301775147929	19
17	0.05917159763313609	20
18	0.05029585798816568	17
19	0.038461538461538464	13
20	0.05029585798816568	17
21	0.07100591715976332	24
22	0.06804733727810651	23
23	0.03550295857988166	12
