time	frequency	count
00	0.020202020202020204	2
01	0.030303030303030304	3
02	0.030303030303030304	3
03	0.010101010101010102	1
04	0.010101010101010102	1
05	0.010101010101010102	1
06	0.010101010101010102	1
07	0.050505050505050504	5
08	0.0707070707070707	7
09	0.030303030303030304	3
10	0.030303030303030304	3
11	0.06060606060606061	6
12	0.04040404040404041	4
13	0.050505050505050504	5
14	0.08080808080808081	8
15	0.050505050505050504	5
16	0.04040404040404041	4
17	0.030303030303030304	3
18	0.04040404040404041	4
19	0.050505050505050504	5
20	0.0707070707070707	7
21	0.050505050505050504	5
22	0.0707070707070707	7
23	0.06060606060606061	6
