time	frequency	count
00	0.03783783783783784	14
01	0.008108108108108109	3
02	0.021621621621621623	8
03	0.013513513513513514	5
04	0.002702702702702703	1
05	0.01891891891891892	7
06	0.01891891891891892	7
07	0.04864864864864865	18
08	0.03513513513513514	13
09	0.05405405405405406	20
10	0.05945945945945946	22
11	0.04594594594594595	17
12	0.07567567567567568	28
13	0.051351351351351354	19
14	0.04054054054054054	15
15	0.04054054054054054	15
16	0.04594594594594595	17
17	0.05405405405405406	20
18	0.051351351351351354	19
19	0.05675675675675676	21
20	0.05945945945945946	22
21	0.051351351351351354	19
22	0.04594594594594595	17
23	0.062162162162162166	23
