time	frequency	count
00	0.0440251572327044	7
01	0.025157232704402517	4
02	0.03773584905660377	6
03	0.018867924528301886	3
04	0.012578616352201259	2
05	0.012578616352201259	2
06	0.012578616352201259	2
07	0.06918238993710692	11
08	0.031446540880503145	5
09	0.050314465408805034	8
10	0.03773584905660377	6
11	0.0440251572327044	7
12	0.025157232704402517	4
13	0.025157232704402517	4
14	0.05660377358490566	9
15	0.025157232704402517	4
16	0.050314465408805034	8
17	0.050314465408805034	8
18	0.05660377358490566	9
19	0.05660377358490566	9
20	0.05660377358490566	9
21	0.0880503144654088	14
22	0.0880503144654088	14
23	0.025157232704402517	4
