time	frequency	count
00	0.03373015873015873	17
01	0.015873015873015872	8
02	0.017857142857142856	9
03	0.017857142857142856	9
04	0.003968253968253968	2
05	0.031746031746031744	16
06	0.01984126984126984	10
07	0.021825396825396824	11
08	0.05952380952380952	30
09	0.05555555555555555	28
10	0.047619047619047616	24
11	0.04563492063492063	23
12	0.047619047619047616	24
13	0.04365079365079365	22
14	0.03571428571428571	18
15	0.05952380952380952	30
16	0.05357142857142857	27
17	0.0496031746031746	25
18	0.03571428571428571	18
19	0.061507936507936505	31
20	0.057539682539682536	29
21	0.061507936507936505	31
22	0.06746031746031746	34
23	0.05555555555555555	28
