time	frequency	count
00	0.047619047619047616	6
01	0.06349206349206349	8
02	0.015873015873015872	2
03	0.007936507936507936	1
04	0.007936507936507936	1
05	0.007936507936507936	1
06	0.0	0
07	0.023809523809523808	3
08	0.023809523809523808	3
09	0.05555555555555555	7
10	0.03968253968253968	5
11	0.06349206349206349	8
12	0.07936507936507936	10
13	0.07142857142857142	9
14	0.031746031746031744	4
15	0.031746031746031744	4
16	0.06349206349206349	8
17	0.023809523809523808	3
18	0.047619047619047616	6
19	0.05555555555555555	7
20	0.03968253968253968	5
21	0.07142857142857142	9
22	0.05555555555555555	7
23	0.07142857142857142	9
