time	frequency	count
00	0.025839793281653745	10
01	0.03359173126614987	13
02	0.020671834625323	8
03	0.028423772609819122	11
04	0.002583979328165375	1
05	0.012919896640826873	5
06	0.01808785529715762	7
07	0.023255813953488372	9
08	0.025839793281653745	10
09	0.03875968992248062	15
10	0.046511627906976744	18
11	0.04909560723514212	19
12	0.03875968992248062	15
13	0.04909560723514212	19
14	0.04392764857881137	17
15	0.08785529715762273	34
16	0.04392764857881137	17
17	0.056847545219638244	22
18	0.059431524547803614	23
19	0.05426356589147287	21
20	0.04909560723514212	19
21	0.059431524547803614	23
22	0.07493540051679587	29
23	0.056847545219638244	22
