time	frequency	count
00	0.08653846153846154	9
01	0.028846153846153848	3
02	0.019230769230769232	2
03	0.019230769230769232	2
04	0.028846153846153848	3
05	0.038461538461538464	4
06	0.009615384615384616	1
07	0.028846153846153848	3
08	0.0673076923076923	7
09	0.009615384615384616	1
10	0.04807692307692308	5
11	0.038461538461538464	4
12	0.038461538461538464	4
13	0.04807692307692308	5
14	0.057692307692307696	6
15	0.019230769230769232	2
16	0.038461538461538464	4
17	0.028846153846153848	3
18	0.04807692307692308	5
19	0.04807692307692308	5
20	0.0673076923076923	7
21	0.057692307692307696	6
22	0.028846153846153848	3
23	0.09615384615384616	10
