Time,atlanta,atlanta_count,austin,austin_count,boston,boston_count,chicago,chicago_count,dallas,dallas_count,denver,denver_count,detroit,detroit_count,houston,houston_count,lasvegas,lasvegas_count,losangeles,losangeles_count,miami,miami_count,minneapolis,minneapolis_count,newyork,newyork_count,orangecounty,orangecounty_count,philadelphia,philadelphia_count,phoenix,phoenix_count,portland,portland_count,raleigh,raleigh_count,sacramento,sacramento_count,sandiego,sandiego_count,seattle,seattle_count,sfbay,sfbay_count,washingtondc,washingtondc_count,Total,Total_count
00,0.1111111111111111,1,0,0,0.0,0,0.07142857142857142,1,0.0,0,0,0,0.0,0,0.3333333333333333,1,0.2,1,0.08333333333333333,1,0.25,1,0.0,0,0.0625,1,0.08333333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.25,1,0.0,0,0.08653846153846154,9
01,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.08333333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.25,1,0.0,0,0.028846153846153848,3
02,0.0,0,0,0,0.3333333333333333,1,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0625,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.019230769230769232,2
03,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.125,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.019230769230769232,2
04,0.1111111111111111,1,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.2,1,0.08333333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.028846153846153848,3
05,0.1111111111111111,1,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.08333333333333333,1,0.25,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.25,1,0.0,0,0.038461538461538464,4
06,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0625,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.009615384615384616,1
07,0.0,0,0,0,0.0,0,0.0,0,0.5,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.08333333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.125,1,0.028846153846153848,3
08,0.0,0,0,0,0.0,0,0.07142857142857142,1,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.125,2,0.25,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.125,1,0.0673076923076923,7
09,0.0,0,0,0,0.0,0,0.07142857142857142,1,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.009615384615384616,1
10,0.1111111111111111,1,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.16666666666666666,2,0.0,0,0.0,0,0.0,0,0.16666666666666666,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.04807692307692308,5
11,0.1111111111111111,1,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.08333333333333333,1,0.25,1,0.0,0,0.0,0,0.08333333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.038461538461538464,4
12,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.3333333333333333,1,0.0,0,0.08333333333333333,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0,0,0.0,0,0.125,1,0.038461538461538464,4
13,0.0,0,0,0,0.3333333333333333,1,0.07142857142857142,1,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1875,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.04807692307692308,5
