time	frequency	count
00	0.0784313725490196	4
01	0.0784313725490196	4
02	0.0	0
03	0.0196078431372549	1
04	0.0	0
05	0.0	0
06	0.0392156862745098	2
07	0.0196078431372549	1
08	0.0	0
09	0.0196078431372549	1
10	0.0	0
11	0.058823529411764705	3
12	0.0392156862745098	2
13	0.058823529411764705	3
14	0.0196078431372549	1
15	0.0196078431372549	1
16	0.0	0
17	0.11764705882352941	6
18	0.11764705882352941	6
19	0.09803921568627451	5
20	0.0196078431372549	1
21	0.058823529411764705	3
22	0.0784313725490196	4
23	0.058823529411764705	3
