time	frequency	count
00	0.014234875444839857	4
01	0.02491103202846975	7
02	0.010676156583629894	3
03	0.0071174377224199285	2
04	0.0	0
05	0.010676156583629894	3
06	0.02491103202846975	7
07	0.021352313167259787	6
08	0.03914590747330961	11
09	0.03558718861209965	10
10	0.042704626334519574	12
11	0.046263345195729534	13
12	0.0498220640569395	14
13	0.05693950177935943	16
14	0.06405693950177936	18
15	0.060498220640569395	17
16	0.03202846975088968	9
17	0.046263345195729534	13
18	0.06405693950177936	18
19	0.0711743772241993	20
20	0.08185053380782918	23
21	0.0711743772241993	20
22	0.08185053380782918	23
23	0.042704626334519574	12
